"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"ESP","HUR","WOMEN","PC_LF","A","2017",19.02808,
"ESP","HUR","WOMEN","PC_LF","A","2018",17.02597,
"ESP","HUR","WOMEN","PC_LF","A","2019",15.99714,
"DNK","HUR","WOMEN","PC_LF","A","2016",6.379832,"B"
"DNK","HUR","WOMEN","PC_LF","A","2017",6.053493,
"DNK","HUR","WOMEN","PC_LF","A","2018",5.344785,
"DNK","HUR","WOMEN","PC_LF","A","2019",5.270076,
"DEU","HUR","WOMEN","PC_LF","A","2016",3.741524,
"DEU","HUR","WOMEN","PC_LF","A","2017",3.314629,
"DEU","HUR","WOMEN","PC_LF","A","2018",2.91057,
"DEU","HUR","WOMEN","PC_LF","A","2019",2.72739,
"NLD","HUR","WOMEN","PC_LF","A","2016",6.509336,
"NLD","HUR","WOMEN","PC_LF","A","2017",5.257059,
"NLD","HUR","WOMEN","PC_LF","A","2018",3.959554,
"NLD","HUR","WOMEN","PC_LF","A","2019",3.357249,
"TUR","HUR","WOMEN","PC_LF","A","2016",13.61377,
"TUR","HUR","WOMEN","PC_LF","A","2017",13.90001,
"TUR","HUR","WOMEN","PC_LF","A","2018",13.75725,
"TUR","HUR","WOMEN","PC_LF","A","2019",16.40128,
"POL","HUR","WOMEN","PC_LF","A","2016",6.225805,
"POL","HUR","WOMEN","PC_LF","A","2017",4.907586,
"POL","HUR","WOMEN","PC_LF","A","2018",3.849044,
"POL","HUR","WOMEN","PC_LF","A","2019",3.597775,
